ID	Dist.(miles)	Alt(ft)	Time
A0F6F6/N161SA  	2.0	800	2022-01-12 22:27:25.800000
A22275/N2369Z  	0.9	4200	2022-01-12 22:27:27.800000
A9D6B8/KOW733  	0.6	27025	2022-01-12 22:28:59.800000
A6CA2F/N5368H  	0.3	1300	2022-01-12 22:30:34.800000
A887E0/NKS3500 	0.6	18800	2022-01-12 22:31:15.800000
A3F25E/N3530V  	1.9	700	2022-01-12 22:32:29.800000
A30DC5/SWA5551 	0.6	27300	2022-01-12 22:34:53.800000
A7EB78	0.9	1100	2022-01-12 22:42:06.800000
A62170/N4941A  	0.6	825	2022-01-12 22:44:35.800000
A1D8C6/N218RW  	1.5	11800	2022-01-12 22:49:58.800000
A666CD/SKW6260 	0.6	21250	2022-01-12 22:52:42.800000
AD7C57/N96808  	2.2	650	2022-01-12 22:55:12.800000
A35D73/DAL329  	0.6	18350	2022-01-12 22:58:00.800000
A74C35/N57BM   	0.1	1400	2022-01-12 22:59:30.800000
AD7C57/N96808  	2.4	575	2022-01-12 23:00:01.800000
AD7C57/N96808  	2.1	675	2022-01-12 23:05:12.800000
AD7C57/N96808  	2.5	650	2022-01-12 23:06:09.800000
AD4584/SWA5995 	1.6	10775	2022-01-12 23:08:48.800000
A38238/N325PR  	0.9	1150	2022-01-12 23:08:58.800000
A32FD5/SKW3921 	0.6	22225	2022-01-12 23:08:58.800000
AD7C57/N96808  	2.4	575	2022-01-12 23:10:45.800000
A2378E/N242BH  	2.5	1050	2022-01-12 23:12:58.800000
A7E691/SKW3660 	0.7	22900	2022-01-12 23:13:13.800000
A1B6F7/N2098W  	1.9	800	2022-01-12 23:13:41.800000
AC2380/N881W   	1.5	925	2022-01-12 23:14:52.800000
A70523/SWA6173 	1.8	24750	2022-01-12 23:16:04.800000
AD7C57/N96808  	2.0	650	2022-01-12 23:16:40.800000
A86259/N6396D  	1.9	700	2022-01-12 23:21:11.800000
AD7C57/N96808  	2.3	625	2022-01-12 23:21:38.800000
A1B6F7/N2098W  	1.6	800	2022-01-12 23:23:46.800000
A70333/ASA57   	0.8	23875	2022-01-12 23:24:40.800000
AD7C57/N96808  	2.4	550	2022-01-12 23:25:57.800000
A65D06/SKW6265 	0.6	20950	2022-01-12 23:26:07.800000
